Real GDP growth (Annual percent change),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Montenegro,no data,1.1,1.9,2.5,4.4,4.2,8.6,6.8,7.2,-5.8,2.7,3.2,-2.7,3.5,1.8,3.4,2.9,4.7,5.1,3.6,-12
Morocco,1.9,7.3,3.1,6,4.8,3.3,7.6,3.5,5.9,4.2,3.8,5.2,3,4.5,2.7,4.5,1,4.2,3,2.2,-7
Mozambique,1.2,12.1,9.3,6.9,7.9,6.6,9.7,7.7,7.3,6.3,6.5,7.4,7.3,7,7.4,6.7,3.8,3.7,3.4,2.3,-0.5
Myanmar,12.4,12.5,9.9,13.2,15.3,13.6,13.3,12.5,7.6,4.4,5.2,5.5,6.5,7.9,8.2,7.5,6.4,5.8,6.4,6.5,2
Namibia,3.5,2.4,6.7,3.5,6.6,4.7,3.9,3.6,2.6,0.3,6,5.1,5.1,5.6,5.8,4.5,-0.3,-0.3,0.7,-1,-5.9
Nauru,no data,no data,no data,no data,no data,-0.4,8.3,-22.2,20.4,9.1,11.1,10.8,10.4,31,27.2,3.4,3,-5.5,5.7,1,0.7
Nepal,6.1,5.6,0.1,3.9,4.7,3.5,3.4,3.4,6.1,4.5,4.8,3.4,4.8,4.1,6,3.3,0.6,8.2,6.7,7.1,0
Netherlands,4.2,2.3,0.2,0.2,2,2,3.5,3.8,2.2,-3.7,1.3,1.5,-1,-0.1,1.4,2,2.2,2.9,2.4,1.7,-5.4
New Zealand,4.1,2.2,5.1,4.6,4.4,2.6,2.7,4,-0.4,0.3,2,1.9,2.5,2.2,3.2,4.1,4.2,3.8,3.2,2.2,-6.1
Nicaragua,4.1,3,0.8,2.5,5.3,4.3,3.8,5.1,3.4,-3.3,4.4,6.3,6.5,4.9,4.8,4.8,4.6,4.6,-4,-3.9,-5.5
Niger,-1.2,7.3,4.9,2.2,0.4,7.3,5.9,3.1,7.7,2,8.6,2.4,10.5,5.3,6.6,4.4,5.7,5,7.2,5.9,0.5
Nigeria,5.5,6.7,14.6,9.5,10.4,7,6.7,7.3,7.2,8.4,11.3,4.9,4.3,5.4,6.3,2.7,-1.6,0.8,1.9,2.2,-4.3
North Macedonia ,4.5,-3.1,1.5,2.2,4.7,4.7,5.1,6.5,5.5,-0.4,3.4,2.3,-0.5,2.9,3.6,3.9,2.8,1.1,2.7,3.6,-5.4
Norway,3.2,2.1,1.4,0.9,4,2.6,2.4,3,0.5,-1.7,0.7,1,2.7,1,2,2,1.1,2.3,1.3,1.2,-2.8
Oman,6.5,4.5,-1.1,-2.7,1.3,2.5,5.4,4.5,8.2,6.1,2,2.6,9.1,5.1,1.4,4.7,4.9,0.3,0.9,-0.8,-10
Pakistan,3.9,2,3.1,4.7,7.5,9,5.8,5.5,5,0.4,2.6,3.6,3.8,3.7,4.1,4.1,4.6,5.2,5.5,1.9,-0.4
Palau,no data,6.4,3.6,-3.3,4.9,4,-0.4,1,-5.4,-5.9,0.1,5.1,1.6,-1.7,6,5,-0.4,-2,5.8,-1.8,-11.4
Panama,2.7,0.6,2.2,4.2,7.5,7.2,8.5,12.1,9.9,1.2,5.8,11.3,9.8,6.9,5.1,5.7,5,5.6,3.7,3,-9
Papua New Guinea,-2.5,-0.1,-0.2,9,0.6,4.3,2.5,7.8,-0.3,6.8,10.1,1.1,4.7,3.8,13.5,9.5,4.1,3.5,-0.8,4.9,-3.3
Paraguay,-2.3,-0.8,0,4.3,4.1,2.1,4.8,5.4,6.4,-0.3,11.1,4.2,-0.5,8.4,4.9,3.1,4.3,5,3.4,0,-4
Peru,2.7,0.6,5.5,4.2,5,6.3,7.5,8.5,9.1,1,8.5,6.5,6,5.8,2.4,3.3,4.1,2.5,4,2.2,-13.9
Philippines,3.9,3,3.7,5.1,6.6,4.9,5.3,6.5,4.3,1.4,7.3,3.9,6.9,6.8,6.3,6.3,7.1,6.9,6.3,6,-8.3
Poland,4.3,1.2,1.4,3.6,5.1,3.5,6.2,7,4.2,2.8,3.6,5,1.6,1.4,3.3,3.8,3.1,4.9,5.3,4.1,-3.6
Portugal,3.8,1.9,0.8,-0.9,1.8,0.8,1.6,2.5,0.3,-3.1,1.7,-1.7,-4.1,-0.9,0.8,1.8,2,3.5,2.6,2.2,-10
Puerto Rico,3.3,9.5,2.2,2.3,2,-2,-1.4,-1.2,-1.8,-2,-0.4,-0.4,0,-0.3,-1.2,-1,-1.3,-2.7,-4.9,2,-7.5
Qatar,6.9,4.5,6.9,4,19.2,7.8,28.1,18.2,17.5,13.1,17.7,11.3,4.7,5.6,5.3,4.8,3.1,-1.5,1.2,0.8,-4.5
Romania,2.9,5.2,5.7,2.3,10.4,4.7,8,7.2,9.3,-5.5,-3.9,2,2.1,3.5,3.4,3.9,4.8,7.1,4.4,4.1,-4.8
Russian Federation,10,5.1,4.7,7.3,7.2,6.4,8.2,8.5,5.2,-7.8,4.5,5.1,4,1.8,0.7,-2,0.2,1.8,2.5,1.3,-4.1
Rwanda,12.4,5.9,12.8,-2.9,7.7,9.4,15,7,1.7,8.6,6,9,8.6,5.9,7.8,8.9,6,4,8.6,9.4,2
Saint Kitts and Nevis,9.7,5.3,1.4,-3.9,4,9.7,3.2,0.6,6.1,-4,-0.6,1.8,-2.2,5.4,6.3,1,2.8,-2,2.9,2.8,-18.7
Saint Lucia,0,-3.4,0.4,4.3,7.3,-0.4,6.2,1.9,4.9,-1.8,0.5,4.8,-0.3,-2.2,1.3,-0.2,3.8,3.5,2.6,1.7,-16.9
Saint Vincent and the Grenadines,1.8,1.7,6.3,7.7,4.2,2.5,7.7,3.3,1.6,-2.1,-3.4,-0.4,1.4,1.8,1.2,1.3,1.9,1,2.2,0.4,-7
Samoa,5.1,7.4,5.7,5.2,3.1,6.6,2.1,0.5,3.6,-0.5,2.6,4.2,-4.1,-0.4,0.1,4.3,8.1,1,-2.2,3.5,-5
San Marino,2.2,5.5,0.3,3.9,4.6,2.4,3.8,7.1,-0.4,-10.1,-5.8,-8.5,-7.2,-0.8,-0.7,2.7,2.3,0.4,1.7,1.1,-11
Saudi Arabia,5.6,-1.2,-2.8,11.2,8,5.6,2.8,1.8,6.2,-2.1,5,10,5.4,2.7,3.7,4.1,1.7,-0.7,2.4,0.3,-5.4
Senegal,3.2,4.6,0.7,6.7,5.9,5.6,2.5,4.9,4.1,2.1,3.6,1.5,5.1,2.8,6.6,6.4,6.4,7.4,6.4,5.3,-0.7
Serbia,7.8,5,7.1,4.4,9,10.2,5.1,6.4,5.7,-2.7,0.7,2,-0.7,2.9,-1.6,1.8,3.3,2,4.4,4.2,-2.5
Seychelles,4.3,-2.3,1.2,-5.9,-2.9,9,9.4,10.4,-2.1,-1.1,5.9,5.4,3.7,6,4.5,4.9,4.6,4.4,3.8,3.9,-13.8
Sierra Leone,3.8,18.2,26.4,9.3,6.6,4.5,4.2,8.1,5.4,3.2,5.3,6.3,15.2,20.7,4.6,-20.5,6.4,3.8,3.5,5.4,-3.1
Singapore,9,-1.1,3.9,4.5,9.8,7.4,9,9,1.9,0.1,14.5,6.3,4.5,4.8,3.9,3,3.2,4.3,3.4,0.7,-6
Slovak Republic,1.2,3.3,4.5,5.5,5.3,6.6,8.5,10.8,5.6,-5.5,5.7,2.9,1.9,0.7,2.8,4.8,2.1,3,3.9,2.4,-7.1
Slovenia,3.7,3.2,3.5,3,4.4,3.8,5.7,7,3.5,-7.5,1.3,0.9,-2.6,-1,2.8,2.2,3.1,4.8,4.1,2.4,-6.7
Solomon Islands,-14.3,-8,-2.8,6.5,6.7,5.5,4.9,4.4,5.8,2.6,8.6,7.3,1.9,5.3,1,1.4,5.9,5.3,3.9,1.2,-5
Somalia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.2,1.9,2.4,3.5,2.9,1.4,2.8,2.9,-1.5
South Africa,4.2,2.7,3.7,2.9,4.6,5.3,5.6,5.4,3.2,-1.5,3,3.3,2.2,2.5,1.8,1.2,0.4,1.4,0.8,0.2,-8
"South Sudan, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,-52.4,29.3,2.9,-0.2,-13.5,-5.8,-1.9,0.9,4.1
Spain,5.1,3.9,2.7,3,3.1,3.7,4.1,3.6,0.9,-3.8,0.2,-0.8,-3,-1.4,1.4,3.8,3,2.9,2.4,2,-12.8
Sri Lanka,8.4,-1.9,3.7,5.9,5.4,6.2,7.7,6.8,6,3.5,8,8.4,9.1,3.4,5,5,4.5,3.6,3.3,2.3,-4.6
Sudan,8.4,10.9,5.9,6.3,5.1,5.6,6.5,5.7,3.8,-2.8,3.9,-3.2,-17,2,4.7,1.9,3.5,0.7,-2.3,-2.5,-8.4
Suriname,-0.1,4.9,3.7,6.2,7.3,4.9,5.8,5.1,4.1,3,5.2,5.8,2.7,2.9,0.3,-3.4,-5.6,1.8,2.6,0.3,-13.1
Sweden,4.8,1.4,2.2,2.3,4.3,2.9,4.7,3.4,-0.5,-4.3,6,3.2,-0.6,1.2,2.7,4.5,2.1,2.6,2,1.3,-4.7
Switzerland,4.1,1.3,0.2,0.1,2.6,3.2,4.1,4.1,2.1,-2.2,2.9,1.8,1,1.9,2.5,1.3,1.7,1.9,2.7,1.2,-5.3
Syria,2.3,3.7,5.9,-2,6.9,6.2,5,5.7,4.5,5.9,3.4,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
São Tomé and Príncipe,0.4,2.4,2.4,6.6,3.8,7.1,9.1,3.3,8.2,2.4,6.7,4.4,3.1,4.8,6.5,3.8,4.2,3.9,3,1.3,-6.5
Taiwan Province of China,6.3,-1.4,5.5,4.2,7,5.4,5.8,6.9,0.8,-1.6,10.2,3.7,2.2,2.5,4.7,1.5,2.2,3.3,2.7,2.7,0
Tajikistan,8.3,10.2,9.1,10.2,10.6,6.7,7,7.8,7.9,3.9,6.5,7.4,7.5,7.4,6.7,6,6.9,7.1,7.3,7.5,1
Tanzania,4.9,6,7.2,6.9,7.8,7.4,4.7,8.5,5.6,5.4,6.4,7.9,5.1,6.8,6.7,6.2,6.9,6.8,7,7,1.9
Thailand,4.5,3.4,6.1,7.2,6.3,4.2,5,5.4,1.7,-0.7,7.5,0.8,7.2,2.7,1,3.1,3.4,4.1,4.2,2.4,-7.1
Timor-Leste,no data,16.3,-6.7,-2.2,0.4,3,-4.1,10.2,11.3,10,9.5,5.8,6,2.1,4.5,3.1,3.6,-3.8,-0.8,3.1,-6.8
Togo,-1,0.8,3.8,6.7,-1,-4.7,2.7,-1.2,4.1,5.5,6.1,6.4,6.5,6.1,5.9,5.7,5.6,4.4,4.9,5.3,0
Tonga,3.8,1.5,4.5,0.1,-1.9,-0.4,-2.2,-2.5,4.8,-5.2,0.8,6.8,0.8,0.3,2,1.2,6.6,3.3,0.3,0.7,-2.5
Trinidad and Tobago,6.9,3.7,7.2,13.9,7.3,5.9,14.2,4.3,3.3,-4.8,3.5,-0.2,-0.7,2.2,-0.9,1.8,-6.3,-2.3,-0.2,0,-5.6
Tunisia,4.3,3.8,1.3,4.7,6.2,3.5,5.2,6.7,4.2,3,3.5,-1.9,4.1,2.8,2.9,1.2,1.2,1.9,2.7,1,-7
Turkey,6.9,-5.8,6.4,5.8,9.8,9,6.9,5,0.8,-4.8,8.4,11.2,4.8,8.5,4.9,6.1,3.3,7.5,3,0.9,-5
Turkmenistan,18.6,20.4,15.8,17.1,14.7,13,11,11.1,14.7,6.1,9.2,14.7,11.1,10.2,10.3,6.5,6.2,6.5,6.2,6.3,1.8
Tuvalu,no data,1.5,7.7,-3.1,-1.7,-4.1,2.9,6.3,7.1,-4.1,-3.3,7.5,-3.9,4.9,1.2,9.2,5.9,4.6,3.7,6,-0.5
Uganda,3.9,8.8,7.1,6.2,5.8,10,7,8.1,10.4,8.1,7.5,7.7,2.3,3.9,5.7,6.8,0.4,7.3,6.1,6.7,-0.3
Ukraine,5.9,8.8,5.3,9.5,11.8,3.1,7.6,8.2,2.2,-15.1,4.1,5.5,0.2,0,-6.6,-9.8,2.4,2.5,3.4,3.2,-7.2
United Arab Emirates,12.3,1.3,2.5,8.8,9.6,4.9,9.8,3.2,3.2,-5.2,1.6,6.9,4.5,5.1,4.3,5.1,3.1,2.4,1.2,1.7,-6.6
United Kingdom,3.4,3,2.3,3.3,2.4,3.2,2.8,2.4,-0.3,-4.2,1.9,1.5,1.5,2.1,2.6,2.4,1.9,1.9,1.3,1.5,-9.8
United States,4.1,1,1.7,2.9,3.8,3.5,2.9,1.9,-0.1,-2.5,2.6,1.6,2.2,1.8,2.5,3.1,1.7,2.3,3,2.2,-4.3
Uruguay,-1.8,-3.5,-7.1,2.3,4.6,6.8,4.1,6.5,7.2,4.2,7.8,5.2,3.5,4.6,3.2,0.4,1.7,2.6,1.6,0.2,-4.5
Uzbekistan,3.8,4.2,4,4.2,7.4,7,7.5,9.5,9,8.1,7.3,7.8,7.4,7.6,7.2,7.4,6.1,4.5,5.4,5.6,0.7
Vanuatu,5.9,-3.4,-5.2,4.3,4,5.3,8.5,5.2,6.4,3.3,1.6,1.2,1.8,2,2.3,0.2,3.5,4.4,2.9,3.3,-8.3
Venezuela,3.7,3.4,-8.9,-7.8,18.3,10.3,9.9,8.8,5.3,-3.2,-1.5,4.2,5.6,1.3,-3.9,-6.2,-17,-15.7,-19.6,-35,-25
Vietnam,6.8,6.9,7.1,7.3,7.8,7.5,7,7.1,5.7,5.4,6.4,6.4,5.5,5.6,6.4,7,6.7,6.9,7.1,7,1.6
West Bank and Gaza,-8.6,-9.3,-12.5,14,21.9,11.3,-1,3.8,7.4,8.6,5.8,9.6,6.1,4.7,-0.2,3.7,8.9,1.4,1.2,0.9,-12
Yemen,6.2,3.8,3.9,3.7,4,5.6,3.2,3.3,3.6,3.9,7.7,-12.7,2.4,4.8,-0.2,-28,-9.4,-5.1,0.8,2.1,-5
Zambia,3.9,5.3,4.5,6.9,7,7.2,7.9,8.4,7.8,9.2,10.3,5.6,7.6,5.1,4.7,2.9,3.8,3.5,4,1.4,-4.8
Zimbabwe,-4.2,-0.5,-7.7,-16.2,-6.3,-7.4,-3.6,-3.4,-16.3,7.4,19.7,14.2,16.7,2,2.4,1.8,0.7,4.7,3.5,-6.5,-10.4
Africa (Region),4.3,4.3,5,5.4,5.8,6.1,5.8,6.2,4.4,3.2,5.8,2.8,7,3.6,3.9,3.3,2.1,3.8,3.5,3.3,-2.6
Asia and Pacific,5.7,3.7,5.1,6.1,7,7.3,7.8,8.6,5.1,4.2,8.3,6.4,5.7,5.9,5.5,5.5,5.4,5.8,5.2,4.4,-2.3
Australia and New Zealand,3.2,2.6,4.3,3,4.2,3,2.7,4.4,2.3,1.7,2.3,2.7,3.6,2.1,2.7,2.5,3,2.6,2.8,1.9,-4.4
Caribbean,3.4,1.5,2.7,5.6,3.3,3.3,7,3.3,1.5,-2.7,0.6,1.8,0.8,1.6,0.8,1,-0.8,0.6,1.6,0.7,-5.4
Central America,3.6,2.2,3.4,2.1,3.8,5.6,6.9,7,4.4,-0.1,5.1,5.1,4.5,4.1,4.8,4.9,4.5,4.2,3.8,3.2,-5.9
Central Asia and the Caucasus,7.1,-1.1,7,6.8,9.5,9.8,9,7.6,2.9,-1.1,7.8,9.4,5.2,7.7,4.9,5.1,3,6.4,3.3,2.2,-4.1
East Asia,6.1,4.3,5.3,5.9,6.8,7.2,8.2,9.5,5.7,4.5,8.7,6.7,5.8,6,5.5,5.2,5.1,5.6,5.1,4.7,0.3
Eastern Europe ,7.2,4.5,4.3,6.1,7.2,5.7,7.5,7.7,4.8,-6.1,3.4,4.4,2.5,1.6,1.1,-0.1,1.6,3.2,3.4,2.5,-4.6
Europe,4.5,2.8,1.9,2.3,3.6,2.9,4.3,4.2,1.6,-4.8,2.5,2.4,0.4,0.6,1.5,1.6,1.8,2.7,2.3,1.6,-7.2
Middle East (Region),6.4,0.3,2.8,12.7,10.6,5.3,6,4.8,4.5,0,5.2,6.6,3,3.1,3.2,2.1,5.6,0.8,0.2,-0.4,-6.6
North Africa,4.3,3.1,3.2,6,4.4,5.7,5.4,5.6,2.7,2.9,4.3,-0.3,12.1,1.2,1.5,3.6,3.1,5.4,4.4,4,-1.3
North America,4.3,1,1.7,2.6,3.7,3.3,3,1.9,0.1,-2.8,2.8,1.9,2.3,1.8,2.6,2.9,1.7,2.3,2.8,1.9,-4.9
Pacific Islands ,-2.1,0.4,1,6.1,2.3,2.7,2.4,4.9,0.6,4,7.7,1.9,3.4,3.9,10.4,7.7,3.9,4,0.5,3.2,-7.1
South America,3.2,0.9,0.3,2.1,7.3,5.1,5.7,6.7,5,-1,6.7,4.9,2.6,3.4,0.5,-1.1,-2.4,0.8,0.3,-0.2,-8.1
South Asia,4.2,4.4,3.8,7.3,7.6,8.9,8.6,9,4.2,7.2,9.1,6.3,5.4,6,6.9,7.4,7.7,6.8,6.1,4.3,-8.4
Southeast Asia,5.8,3.3,5.1,5.8,6.5,5.7,6,6.6,5.2,2.4,7.4,5,6.1,5.1,4.8,4.9,5,5.4,5.2,4.7,-3.3
Sub-Saharan Africa (Region) ,4.2,5.1,6.3,5,6.8,6.3,6.2,6.5,5.6,3.4,6.8,4.6,3.9,4.9,5.1,3.2,1.6,3,3,2.9,-3.3
Western Europe,3.8,2.3,1.1,1.1,2.4,2,3.2,2.8,0.3,-4.3,2.2,1.6,-0.5,0.2,1.6,2.2,1.9,2.5,1.8,1.3,-8.2
Western Hemisphere (Region),4.1,1,1.4,2.5,4.4,3.7,3.6,3,1.2,-2.4,3.7,2.6,2.4,2.2,2.1,2.1,0.9,2.1,2.3,1.5,-5.6
ASEAN-5,5.4,3.4,5.1,5.7,6,5.4,5.5,6.2,5.4,2.5,6.9,4.8,6.2,5,4.7,5,5.1,5.5,5.3,4.9,-3.4
Advanced economies,4.1,1.6,1.7,2.1,3.3,2.8,3.1,2.7,0.2,-3.3,3.1,1.8,1.2,1.4,2.1,2.4,1.8,2.5,2.2,1.7,-5.8
Emerging and Developing Asia,6.5,6.1,6.7,8.3,8.5,9.3,10.1,11.2,7.3,7.6,9.6,7.8,7,6.9,6.8,6.8,6.8,6.7,6.3,5.5,-1.7
Emerging and Developing Europe,7.5,2.7,4.8,6.2,7.8,6.2,7.4,7.2,4.3,-5.7,4.4,5.9,3.1,3.1,1.8,1,1.9,4.1,3.3,2.1,-4.6
Emerging market and developing economies,5.8,3.6,4.5,6.9,7.9,7.2,7.9,8.4,5.7,2.8,7.4,6.4,5.4,5.1,4.7,4.3,4.5,4.8,4.5,3.7,-3.3
Euro area,3.8,2.2,0.9,0.6,2.3,1.7,3.2,3,0.4,-4.5,2.1,1.7,-0.9,-0.2,1.4,2,1.9,2.6,1.8,1.3,-8.3
European Union,3.9,2.3,1.3,1.2,2.8,2.1,3.7,3.4,0.9,-4.2,2.1,1.9,-0.7,0,1.7,2.5,2.1,3,2.3,1.7,-7.6
Latin America and the Caribbean,3.7,0.6,0.4,2,6.2,4.4,5.5,5.6,4,-2,6.1,4.6,2.9,2.9,1.3,0.4,-0.6,1.4,1.1,0,-8.1
Major advanced economies (G7),3.7,1.3,1.2,1.9,2.9,2.6,2.6,2,-0.2,-3.6,2.8,1.6,1.4,1.4,1.9,2.2,1.5,2.3,2.1,1.6,-5.9
Middle East and Central Asia,5.7,2.1,3.5,10.3,8.8,6.2,6.5,5.7,4.4,1.1,4.9,4.7,5.1,3.1,3.1,2.7,4.5,2.6,2.1,1.4,-4.1
Other advanced economies,5.9,2.1,4,2.8,5.3,4.2,4.9,5.2,1.8,-0.8,6,3.4,2.2,2.5,3,2.3,2.5,3.1,2.7,1.7,-3.8
Sub-Saharan Africa,4,4.7,6.3,4.9,7,6.3,6,6.6,5.8,3.8,7,5.1,4.8,5.1,5.2,3.2,1.5,3.1,3.3,3.2,-3
World,4.8,2.5,3,4.3,5.4,4.9,5.5,5.5,3,-0.1,5.4,4.3,3.5,3.5,3.5,3.4,3.3,3.8,3.5,2.8,-4.4
,,,,,,,,,,,,,,,,,,,,,
"©IMF, 2020",,,,,,,,,,,,,,,,,,,,,